Fecha,Precio,RetornoLog,Volatilidad_7d,Volatilidad_14d,Volatilidad_21d,Volatilidad_28d
2021-10-14,57347.94,-0.00033230196825961595,0.46558366222418357,0.6800388431375086,0.6815092959019723,0.7817871954328168
2021-10-15,61672.42,0.07269990621610015,0.6465210676891384,0.6204723946599384,0.6762834056867585,0.8147058713688202
2021-10-16,60875.57,-0.013004884546981205,0.6871313583534939,0.6236883335293035,0.6828924807192651,0.8174975137448451
2021-10-17,61528.33,0.010665774343540647,0.6683661555099211,0.624005514867657,0.6830111392286854,0.8096144257030724
2021-10-18,62009.84,0.007795362977312687,0.6073420045271296,0.6255217387569133,0.6610550263335383,0.7118270691859717
2021-10-19,64280.59,0.035964637291379095,0.5396814035058503,0.6160613630066981,0.6337797176888689,0.669438987164898
2021-10-20,66001.41,0.0264183860137485,0.5410534454617235,0.5385318373053479,0.6327510047189142,0.6437506909190588
2021-10-21,62193.15,-0.05943124037142096,0.7882047187187706,0.6223847921045521,0.7013735043625885,0.6943347082950719
2021-10-22,60688.22,-0.024495255024330125,0.6254342208348117,0.6469038659536952,0.6337388746584615,0.67320353701904
2021-10-23,61286.75,0.009814059457965237,0.6233729843788116,0.6446909558273592,0.6267119527079569,0.670721456856572
2021-10-24,60852.22,-0.007115367573461971,0.6197469270400928,0.6457893915275443,0.6317632488062329,0.6746131176561662
2021-10-25,63078.78,0.03593611946449075,0.6763670693840989,0.6231751344251898,0.6390507690889544,0.6658859090272986
2021-10-26,60328.81,-0.044574653976376374,0.6835282137463984,0.6568222868451026,0.6631887847226261,0.6834871284895164
2021-10-27,58413.44,-0.03226376706842764,0.6272459750183685,0.6743265512213258,0.6192883030481404,0.7034309583024191
2021-10-28,60575.89,0.03635095878154798,0.6185034497955312,0.6974635190277267,0.6193342245707983,0.6921214641307512
2021-10-29,62253.71,0.027321172837900806,0.6259794521040288,0.6040333442917951,0.6257035027792575,0.6232608685279049
2021-10-30,61859.19,-0.006357458874696461,0.6271647852145468,0.6007526586834666,0.6258759907497251,0.6216348337729681
2021-10-31,61299.8,-0.009084092793678443,0.628935788846858,0.6004283238307513,0.6272789120246018,0.6250778601280826
2021-11-01,60911.11,-0.006360992003154558,0.5561484111001115,0.5994421250434608,0.5972988563208879,0.6255262671813346
2021-11-02,63219.99,0.03720496031871912,0.5140245648022869,0.6016351107293925,0.5998709229028161,0.6201306998426861
2021-11-03,62896.48,-0.005130348313391929,0.4171613724801999,0.5822427649055011,0.5958983659763798,0.5720711722789572
2021-11-04,61395.01,-0.024161638804099172,0.4184518696686941,0.510440727996725,0.6075069837164679,0.5692410963996086
